review_rate,review_rate_pct,anomaly_threshold,predicted_anomaly_count,fraud_captured,false_alerts,missed_fraud,precision,recall,f1,precision_pct,recall_pct,f1_pct
0.05,5.0,0.007788412008007433,500,180,320,3033,0.36,0.056022408963585436,0.09695663883652034,36.0,5.602240896358544,9.695663883652033
0.1,10.0,-0.00013089449698796388,1000,357,643,2856,0.357,0.1111111111111111,0.16947543318300498,35.699999999999996,11.11111111111111,16.947543318300497
0.15,15.0,-0.005595413622421709,1500,541,959,2672,0.3606666666666667,0.16837846249610955,0.22957776363250584,36.06666666666667,16.837846249610955,22.957776363250584
0.2,20.0,-0.00970363661249336,2000,717,1283,2496,0.3585,0.223155929038282,0.2750815269518511,35.85,22.3155929038282,27.50815269518511
0.3,30.0,-0.015431980240602222,3000,1083,1917,2130,0.361,0.3370681605975724,0.3486238532110092,36.1,33.70681605975724,34.862385321100916
