threshold,predicted_fraud_count,predicted_normal_count,review_rate,true_positive,false_positive,true_negative,false_negative,precision,recall,f1,false_positive_rate,missed_fraud_rate
0.05,10000,0,100.0,3213,6787,0,0,32.129999999999995,100.0,48.63392113827291,100.0,0.0
0.1,10000,0,100.0,3213,6787,0,0,32.129999999999995,100.0,48.63392113827291,100.0,0.0
0.15000000000000002,10000,0,100.0,3213,6787,0,0,32.129999999999995,100.0,48.63392113827291,100.0,0.0
0.2,3595,6405,35.949999999999996,2250,1345,5442,963,62.58692628650904,70.02801120448179,66.09870740305523,19.81729777515839,29.971988795518207
0.25,1988,8012,19.88,1986,2,6785,1227,99.89939637826963,61.81139122315593,76.36992885983464,0.029468100780904668,38.18860877684407
0.3,1985,8015,19.85,1985,0,6787,1228,100.0,61.7802676626206,76.37552904963447,0.0,38.2197323373794
0.35000000000000003,1985,8015,19.85,1985,0,6787,1228,100.0,61.7802676626206,76.37552904963447,0.0,38.2197323373794
0.4,1985,8015,19.85,1985,0,6787,1228,100.0,61.7802676626206,76.37552904963447,0.0,38.2197323373794
0.45,1985,8015,19.85,1985,0,6787,1228,100.0,61.7802676626206,76.37552904963447,0.0,38.2197323373794
0.5,1985,8015,19.85,1985,0,6787,1228,100.0,61.7802676626206,76.37552904963447,0.0,38.2197323373794
0.55,1985,8015,19.85,1985,0,6787,1228,100.0,61.7802676626206,76.37552904963447,0.0,38.2197323373794
0.6000000000000001,1985,8015,19.85,1985,0,6787,1228,100.0,61.7802676626206,76.37552904963447,0.0,38.2197323373794
0.6500000000000001,1985,8015,19.85,1985,0,6787,1228,100.0,61.7802676626206,76.37552904963447,0.0,38.2197323373794
0.7000000000000001,1985,8015,19.85,1985,0,6787,1228,100.0,61.7802676626206,76.37552904963447,0.0,38.2197323373794
0.7500000000000001,1985,8015,19.85,1985,0,6787,1228,100.0,61.7802676626206,76.37552904963447,0.0,38.2197323373794
0.8,1932,8068,19.32,1932,0,6787,1281,100.0,60.130718954248366,75.10204081632654,0.0,39.869281045751634
0.8500000000000001,901,9099,9.01,901,0,6787,2312,100.0,28.04232804232804,43.80165289256198,0.0,71.95767195767195
0.9000000000000001,9,9991,0.09,9,0,6787,3204,100.0,0.2801120448179272,0.5586592178770949,0.0,99.71988795518207
0.9500000000000001,0,10000,0.0,0,0,6787,3213,0.0,0.0,0.0,0.0,100.0
