split,rule,rows,fraud_count,fraud_rate,predicted_positive_count,review_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
all,failed_transaction_count_7d >= 4,50000,16067,0.32134,9954,0.19908,0.87774,1.0,0.6195307151303915,0.7650743630144883,0.8097653575651957,0.7417907151303915,33933,0,6113,9954
train,failed_transaction_count_7d >= 4,30000,9642,0.3214,5974,0.19913333333333333,0.8777333333333334,1.0,0.6195809997925742,0.7651127049180327,0.809790499896287,0.7418476664592408,20358,0,3668,5974
validation,failed_transaction_count_7d >= 4,10000,3197,0.3197,1953,0.1953,0.8756,1.0,0.6108852048795747,0.7584466019417476,0.8054426024397874,0.7352852048795746,6803,0,1244,1953
test,failed_transaction_count_7d >= 4,10000,3228,0.3228,2027,0.2027,0.8799,1.0,0.6279429987608426,0.7714557564224548,0.8139714993804212,0.7480429987608426,6772,0,1201,2027
